name,GeneName,fbid,gene_snapshot_text,summary
CNMaR,CNMamide Receptor,FBgn0053696,CNMamide Receptor (CNMaR) encodes a G-protein coupled receptor for the neuropeptide encoded by CNMa.,"The gene CNMamide Receptor is referred to in FlyBase by the symbol Dmel\CNMaR (CG33696, FBgn0053696). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:9644109..9659433. Its molecular function is described by: neuropeptide receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; neuropeptide signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  	"
CapaR,Capability receptor,FBgn0037100,"Capability receptor (CapaR) encodes a G-protein-coupled receptor for the neuropeptide encoded by Capa, which stimulates fluid secretion in Malpighian tubules, thus acting as a diuretic hormone.","The gene Capability receptor is referred to in FlyBase by the symbol Dmel\CapaR (CG14575, FBgn0037100). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:21558974..21562181. Its molecular function is described by: G protein-coupled receptor activity; neuromedin U receptor activity; neuropeptide receptor activity. It is involved in the biological process described with: positive regulation of calcium ion transport; cellular response to desiccation; neuropeptide signaling pathway; body fluid secretion; G protein-coupled receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, in adult male stages.  	"
CrzR,Corazonin receptor,FBgn0036278,Corazonin receptor (CrzR) encodes a member of the Class A family of G-protein-coupled receptor that transduces the siganl of the neuropeptide encoded by Crz. It is involved in ethanol-induced behavior and ethanol metabolism.,"The gene Corazonin receptor is referred to in FlyBase by the symbol Dmel\CrzR (CG10698, FBgn0036278). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:12339116..12351544. Its molecular function is described by: G protein-coupled receptor activity; corazonin receptor activity; neuropeptide receptor activity. It is involved in the biological process described with: acetaldehyde metabolic process; G protein-coupled receptor signaling pathway; cellular response to ethanol; neuropeptide signaling pathway; behavioral response to ethanol. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed during early larval stages, during late pupal stages, in adult male stages.  	"
Dh31-R,Diuretic hormone 31 Receptor,FBgn0052843,Diuretic hormone 31 Receptor (Dh31-R) encodes a protein that exhibits diuretic hormone receptor activity. It is involved in G protein-coupled receptor signaling pathwayS.,"The gene Diuretic hormone 31 Receptor is referred to in FlyBase by the symbol Dmel\Dh31-R (CG32843, FBgn0052843). It is a protein_coding_gene from Dmel. Gene sequence location is 2R:13267798..13295927. Its molecular function is described by: transmembrane signaling receptor activity; neuropeptide receptor activity; diuretic hormone receptor activity; G protein-coupled receptor activity; calcitonin receptor activity. It is involved in the biological process described with: adenylate cyclase-modulating G protein-coupled receptor signaling pathway; G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, in adult male stages.  	"
Dh44-R1,Diuretic hormone 44 receptor 1,FBgn0033932,"Diuretic hormone 44 receptor 1 (Dh44-R1) encodes a G-Protein Coupled Receptor of the Family B class of GPCRs (Secretin Receptor-like). It is involved in regulation of diuresis, sperm storage in females and circadian control of locomotion.","The gene Diuretic hormone 44 receptor 1 is referred to in FlyBase by the symbol Dmel\Dh44-R1 (CG8422, FBgn0033932). It is a protein_coding_gene from Dmel. Gene sequence location is 2R:14378097..14385359. Its molecular function is described by 6 unique terms, many of which group under: molecular transducer activity; signaling receptor activity; transmembrane signaling receptor activity; peptide receptor activity; peptide binding. It is involved in the biological process described with: adenylate cyclase-modulating G protein-coupled receptor signaling pathway; hormone-mediated signaling pathway; G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  	"
Dh44-R2,Diuretic hormone 44 receptor 2,FBgn0033744,"Diuretic hormone 44 receptor 2 (Dh44-R2) encodes a protein that exhibits diuretic hormone receptor activity. It is involved in G protein-coupled receptor signaling pathways, hormone-mediated signaling pathways, and response to salt stress.","The gene Diuretic hormone 44 receptor 2 is referred to in FlyBase by the symbol Dmel\Dh44-R2 (CG12370, FBgn0033744). It is a protein_coding_gene from Dmel. Gene sequence location is 2R:12474424..12487986. Its molecular function is described by 6 unique terms, many of which group under: molecular transducer activity; transmembrane signaling receptor activity; signaling receptor activity; G protein-coupled receptor activity; peptide receptor activity. It is involved in the biological process described with: response to salt stress; adenylate cyclase-modulating G protein-coupled receptor signaling pathway; hormone-mediated signaling pathway; G protein-coupled receptor signaling pathway; cell surface receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 06-12 and 18-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages.  	"
ETHR,ETHR,FBgn0038874,"ETHR (ETHR) encodes two distinct G protein-coupled receptors through alternative splicing. During development, the receptors are essential in initiating the molt-related behaviors of ecdysis, and in adults they function to promote juvenile hormone signaling and reproduction.","The gene ETHR is referred to in FlyBase by the symbol Dmel\ETHR (CG5911, FBgn0038874). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:21247011..21265134. Its molecular function is described by 6 unique terms, many of which group under: signaling receptor activity; molecular transducer activity; transmembrane signaling receptor activity; G protein-coupled receptor activity; peptide receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed during late pupal stages.  	"
FMRFaR,FMRFamide Receptor,FBgn0035385,"FMRFamide Receptor (FMRFaR) encodes a G protein coupled receptor activated by all FMRFamide peptides. It contributes to neurotransmitter release, muscle contraction, and larval escape responses to light.","The gene FMRFamide Receptor is referred to in FlyBase by the symbol Dmel\FMRFaR (CG2114, FBgn0035385). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:3001716..3011860. Its molecular function is described by: peptide receptor activity; G protein-coupled receptor activity; neuropeptide receptor activity. It is involved in the biological process described with 7 unique terms, many of which group under: behavior; cellular process; response to stimulus; regulation of biological process; locomotory behavior. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during early pupal stages.  	"
Hr4,Hormone receptor 4,FBgn0264562,"Hormone receptor 4 (Hr4) encodes a nuclear receptor that acts both upstream and downstream of the steroid hormone ecdysone. In the prothoracic gland the product of Hr4 acts as a repressor of ecdysone production. In other tissues, including the salivary gland and the fat body, Hr4 is transcriptionally induced by ecdysone to transduce the effects of the hormone.","The gene Hormone receptor 4 is referred to in FlyBase by the symbol Dmel\Hr4 (CG43934, FBgn0264562). It is a protein_coding_gene from Dmel. Gene sequence location is X:1941940..2007956. Its molecular function is described by: estrogen response element binding; nuclear receptor activity; sequence-specific DNA binding; DNA-binding transcription factor activity; zinc ion binding. It is involved in the biological process described with 8 unique terms, many of which group under: multicellular organismal process; regulation of developmental process; cellular response to stress; positive regulation of developmental process; growth. No alleles are reported."
InR,Insulin-like receptor,FBgn0283499,Contributions welcome.,"The gene Insulin-like receptor is referred to in FlyBase by the symbol Dmel\InR (CG18402, FBgn0283499). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:21570248..21619321. Its molecular function is described by 9 unique terms, many of which group under: protein binding; binding; catalytic activity, acting on a protein; phosphotransferase activity, alcohol group as acceptor; catalytic activity. It is involved in the biological process described with 59 unique terms, many of which group under: homeostatic process; chemical homeostasis; cell population proliferation; cell growth; lipid homeostasis. No alleles are reported."
Lgr1,Leucine-rich repeat-containing G protein-coupled receptor 1,FBgn0016650,"Leucine-rich repeat-containing G protein-coupled receptor 1 (Lgr1) encodes a Leucine-rich repeat-containing G protein-coupled receptor (LGR type A) that shows highest similarity with vertebrate glycoprotein hormone (TSH and Thyrostimulin, FSH, LH ) receptors.","The gene Leucine-rich repeat-containing G protein-coupled receptor 1 is referred to in FlyBase by the symbol Dmel\Lgr1 (CG7665, FBgn0016650). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:17725777..17733207. Its molecular function is described by: neuropeptide receptor activity; G protein-coupled receptor activity; hormone binding; protein-hormone receptor activity. It is involved in the biological process described with: adenylate cyclase-activating G protein-coupled receptor signaling pathway; G protein-coupled receptor signaling pathway; hormone-mediated signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages, in adult male stages.  	"
Lkr,Leucokinin receptor,FBgn0035610,"Leucokinin receptor (Lkr) encodes a 7-transmembrane domain G-protein-coupled receptor (GPCR) with the product of Lk as a ligand. It signals through intracellular calcium, and is implicated in ion regulation by the Malpighian tubules and in feeding control.","The gene Leucokinin receptor is referred to in FlyBase by the symbol Dmel\Lkr (CG10626, FBgn0035610). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:5512421..5529341. Its molecular function is described by: leucokinin receptor activity; neuropeptide Y receptor activity; G protein-coupled receptor activity; neuropeptide receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; positive regulation of cytosolic calcium ion concentration; negative regulation of feeding behavior. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages.  	"
MsR1,Myosuppressin receptor 1,FBgn0035331,"Myosuppressin receptor 1 (MsR1) encodes a class A transmembrane G protein coupled receptor that binds the neuropeptide ligand encoded by Ms and acts through the adenylate cyclase-inhibiting GPCR signaling pathway. It inhibits visceral muscle contraction, and negatively regulates cardiac contractility and gut motility.","The gene Myosuppressin receptor 1 is referred to in FlyBase by the symbol Dmel\MsR1 (CG8985, FBgn0035331). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:2322693..2345799. Its molecular function is described by: neuropeptide receptor activity; G protein-coupled peptide receptor activity; G protein-coupled receptor activity; myosuppressin receptor activity. It is involved in the biological process described with: adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; G protein-coupled receptor signaling pathway; neuropeptide signaling pathway; adult locomotory behavior. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 12-24 hour embryonic stages, during early larval stages, during late pupal stages, in stages of adults of both sexes.  	"
MsR2,Myosuppressin receptor 2,FBgn0264002,Myosuppressin receptor 2 (MsR2) encodes a G protein coupled receptor activated by the product of Ms (TDVDHVFLRFamide). It elevates neurotransmitter release in motor neurons and aids larval escape responses to light.,"The gene Myosuppressin receptor 2 is referred to in FlyBase by the symbol Dmel\MsR2 (CG43745, FBgn0264002). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:2282883..2300944. Its molecular function is described by: G protein-coupled peptide receptor activity; G protein-coupled receptor activity; myosuppressin receptor activity; neuropeptide receptor activity. It is involved in the biological process described with 6 unique terms, many of which group under: behavior; response to stimulus; multicellular organismal process; signaling; signal transduction. No alleles are reported."
NPFR,Neuropeptide F receptor,FBgn0037408,Contributions welcome.,"The gene Neuropeptide F receptor is referred to in FlyBase by the symbol Dmel\NPFR (CG1147, FBgn0037408). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:6187315..6195403. Its molecular function is described by: neuropeptide binding; G protein-coupled receptor activity; neuropeptide Y receptor activity; neuropeptide F receptor activity. It is involved in the biological process described with 8 unique terms, many of which group under: regulation of biological process; cellular process; multicellular organismal process; biological regulation; response to stimulus. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages.  	"
PK1-R,Pyrokinin 1 receptor,FBgn0038201,Pyrokinin 1 receptor (PK1-R) encodes a seven transmembrane G-protein coupled receptor. It is thought to be a receptor for the neuropeptides encoded by Capa and Lst. It regulates the production and release of insulin.,"The gene Pyrokinin 1 receptor is referred to in FlyBase by the symbol Dmel\PK1-R (CG9918, FBgn0038201). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:14099832..14103122. Its molecular function is described by: neuropeptide receptor activity; pyrokinin receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with: negative regulation of peptide hormone secretion; neuropeptide signaling pathway; G protein-coupled receptor signaling pathway; triglyceride homeostasis. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed during late pupal stages.  	"
PK2-R1,Pyrokinin 2 receptor 1,FBgn0038140,"Pyrokinin 2 receptor 1 (PK2-R1) encodes a G protein-coupled receptor that binds the neuropeptide encoded by Hug with high affinity. After binding, a second messenger cascade is initiated in cells that are target for the product of Hug (mainly neurons of the central nervous system).","The gene Pyrokinin 2 receptor 1 is referred to in FlyBase by the symbol Dmel\PK2-R1 (CG8784, FBgn0038140). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:13338330..13345106. Its molecular function is described by: G protein-coupled receptor activity; neuropeptide receptor activity; pyrokinin receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period.  	"
PK2-R2,Pyrokinin 2 receptor 2,FBgn0038139,"Pyrokinin 2 receptor 2 (PK2-R2) encodes a G protein-coupled receptor that binds the neuropeptide encoded by Hug with high affinity. After binding, a second messenger cascade is initiated in cells that are target for the product of Hug (mainly neurons of the central nervous system).","The gene Pyrokinin 2 receptor 2 is referred to in FlyBase by the symbol Dmel\PK2-R2 (CG8795, FBgn0038139). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:13329070..13334166. Its molecular function is described by: neuropeptide receptor activity; pyrokinin receptor activity; G protein-coupled receptor activity; peptide receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; neuropeptide signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period.  	"
Pdfr,Pigment-dispersing factor receptor,FBgn0260753,"Pigment-dispersing factor receptor (Pdfr) encodes a G-Protein Coupled Receptor in the Family B class of GPCRs (Secretin Receptor-like) that can be activated by the product of Pdf. It has been implicated in regulation of circadian physiology, development of the flight motor system, and regulation of mating.","The gene Pigment-dispersing factor receptor is referred to in FlyBase by the symbol Dmel\Pdfr (CG13758, FBgn0260753). It is a protein_coding_gene from Dmel. Gene sequence location is X:2552206..2578640. Its molecular function is described by: calcitonin receptor activity; G protein-coupled receptor activity; transmembrane signaling receptor activity; neuropeptide receptor activity; protein binding. It is involved in the biological process described with 16 unique terms, many of which group under: rhythmic process; cellular process; multicellular organismal process; regulation of biological process; rhythmic behavior. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during early pupal stages.  	"
Proc-R,Proctolin receptor,FBgn0029723,Contributions welcome.,"The gene Proctolin receptor is referred to in FlyBase by the symbol Dmel\Proc-R (CG6986, FBgn0029723). It is a protein_coding_gene from Dmel. Gene sequence location is X:4707916..4729487. Its molecular function is described by: proctolin receptor activity; neuropeptide receptor activity; G protein-coupled receptor activity; G protein-coupled peptide receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway. 4 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 00-06 and 12-24 hour embryonic stages, during late pupal stages, in stages of adults of both sexes.  	"
RYa-R,RYamide receptor,FBgn0004842,Contributions welcome.,"The gene RYamide receptor is referred to in FlyBase by the symbol Dmel\RYa-R (CG5811, FBgn0004842). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:26996980..27057935. Its molecular function is described by: neuropeptide Y receptor activity; G protein-coupled receptor activity; peptide receptor activity; neuropeptide receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; neuropeptide signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed during late pupal stages, in stages of adults of both sexes.  	"
SIFaR,SIFamide receptor,FBgn0038880,"SIFamide receptor (SIFaR) encodes a G-protein coupled peptide receptor involved in both the neuropeptide and the G-protein coupled receptor signaling pathways. It is required for sensory perception of pain, determination of lifespan and sexual behavior.","The gene SIFamide receptor is referred to in FlyBase by the symbol Dmel\SIFaR (CG10823, FBgn0038880). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:21276664..21293998. Its molecular function is described by: neuropeptide receptor activity; peptide binding; G protein-coupled peptide receptor activity; G protein-coupled receptor activity; neuropeptide Y receptor activity. It is involved in the biological process described with: cellular response to hormone stimulus; mating behavior, sex discrimination; determination of adult lifespan; G protein-coupled receptor signaling pathway; neuropeptide signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed during late pupal stages.  	"
SPR,Sex peptide receptor,FBgn0029768,Contributions welcome.,"The gene Sex peptide receptor is referred to in FlyBase by the symbol Dmel\SPR (CG16752, FBgn0029768). It is a protein_coding_gene from Dmel. Gene sequence location is X:5446656..5494012. Its molecular function is described by: G protein-coupled peptide receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with: regulation of egg-laying behavior; G protein-coupled receptor signaling pathway; negative regulation of female receptivity, post-mating. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed in adult female stages.  	"
TkR86C,Tachykinin-like receptor at 86C,FBgn0004841,Contributions welcome.,"The gene Tachykinin-like receptor at 86C is referred to in FlyBase by the symbol Dmel\TkR86C (CG6515, FBgn0004841). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:10737592..10751228. Its molecular function is described by: neuropeptide receptor activity; tachykinin receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; tachykinin receptor signaling pathway; G protein-coupled receptor signaling pathway; inter-male aggressive behavior. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of extremely low expression.  Peak expression observed within 12-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult male stages.  	"
TkR99D,Tachykinin-like receptor at 99D,FBgn0004622,Contributions welcome.,"The gene Tachykinin-like receptor at 99D is referred to in FlyBase by the symbol Dmel\TkR99D (CG7887, FBgn0004622). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:29950796..29969447. Its molecular function is described by: G protein-coupled receptor activity; tachykinin receptor activity; neuropeptide receptor activity. It is involved in the biological process described with 7 unique terms, many of which group under: response to stimulus; regulation of biological process; signaling; cellular process; multicellular organismal process. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  	"
TrissinR,Trissin receptor,FBgn0085410,Contributions welcome.,"The gene Trissin receptor is referred to in FlyBase by the symbol Dmel\TrissinR (CG34381, FBgn0085410). It is a protein_coding_gene from Dmel. Gene sequence location is 2L:5824004..5856767. Its molecular function is described by: peptide binding; neuropeptide receptor activity; G protein-coupled receptor activity; G protein-coupled peptide receptor activity. It is involved in the biological process described with: cellular response to hormone stimulus; G protein-coupled receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in stages of adults of both sexes.  	"
