## FlyBase Gene Snapshot Report
## Generated: Mon Mar 27 06:43:49 2023
## Using datasource: dbi:Pg:dbname=fb_2023_02_reporting;host=flysql25;port=5432...
## Genes that currently do not have a gene snapshot are included in this file and marked with "Contributions welcome." in the gene_snapshot_text column.
##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0033932	Dh44-R1	Diuretic hormone 44 receptor 1	20181018	Diuretic hormone 44 receptor 1 (Dh44-R1) encodes a G-Protein Coupled Receptor of the Family B class of GPCRs (Secretin Receptor-like). It is involved in regulation of diuresis, sperm storage in females and circadian control of locomotion.
FBgn0003255	rk	rickets	20190314	rickets (rk) encodes a G-protein coupled receptor that signals intracellularly using the second messenger cAMP. It binds the heterodimeric hormone bursicon and is developmentally important for molting-related behaviors. It is also required after adult emergence for cuticle hardening and melanization.
FBgn0025595	AkhR	Adipokinetic hormone receptor	20190711	Adipokinetic hormone receptor (AkhR) encodes a G protein-coupled receptor for the hormone encoded by Akh. It modulates both lipid and carbohydrate homeostasis.
FBgn0052843	Dh31-R	Diuretic hormone 31 Receptor	20190711	Diuretic hormone 31 Receptor (Dh31-R) encodes a protein that exhibits diuretic hormone receptor activity. It is involved in G protein-coupled receptor signaling pathwayS.
FBgn0033744	Dh44-R2	Diuretic hormone 44 receptor 2	20190711	Diuretic hormone 44 receptor 2 (Dh44-R2) encodes a protein that exhibits diuretic hormone receptor activity. It is involved in G protein-coupled receptor signaling pathways, hormone-mediated signaling pathways, and response to salt stress.
FBgn0004842	RYa-R	RYamide receptor	-	Contributions welcome.
FBgn0029768	SPR	Sex peptide receptor	-	Contributions welcome.
FBgn0036934	sNPF-R	short neuropeptide F receptor	20190314	short neuropeptide F receptor (sNPF-R) encodes the G-protein-coupled receptor for the  neuropeptide ligand encoded by sNPF, which utilizes the intracelluar ERK pathway or PKA-CREB pathway. It contributes to the regulation of growth, food intake, food-search behavior, appetitive memory, and sleep.
FBgn0264562	Hr4	Hormone receptor 4	20190307	Hormone receptor 4 (Hr4) encodes a nuclear receptor that acts both upstream and downstream of the steroid hormone ecdysone. In the prothoracic gland the product of Hr4 acts as a repressor of ecdysone production. In other tissues, including the salivary gland and the fat body, Hr4 is transcriptionally induced by ecdysone to transduce the effects of the hormone.
FBgn0036278	CrzR	Corazonin receptor	20190307	Corazonin receptor (CrzR) encodes a member of the Class A family of G-protein-coupled receptor that transduces the siganl of the neuropeptide encoded by Crz. It is involved in ethanol-induced behavior and ethanol metabolism.
FBgn0016650	Lgr1	Leucine-rich repeat-containing G protein-coupled receptor 1	20190314	Leucine-rich repeat-containing G protein-coupled receptor 1 (Lgr1) encodes a Leucine-rich repeat-containing G protein-coupled receptor (LGR type A) that shows highest similarity with vertebrate glycoprotein hormone (TSH and Thyrostimulin, FSH, LH ) receptors.
FBgn0038139	PK2-R2	Pyrokinin 2 receptor 2	20190314	Pyrokinin 2 receptor 2 (PK2-R2) encodes a G protein-coupled receptor that binds the neuropeptide encoded by Hug with high affinity. After binding, a second messenger cascade is initiated in cells that are target for the product of Hug (mainly neurons of the central nervous system).
FBgn0038874	ETHR	ETHR	20181108	ETHR (ETHR) encodes two distinct G protein-coupled receptors through alternative splicing. During development, the receptors are essential in initiating the molt-related behaviors of ecdysis, and in adults they function to promote juvenile hormone signaling and reproduction.
FBgn0283499	InR	Insulin-like receptor	-	Contributions welcome.
## Finished report_gene_snapshots: Mon Mar 27 06:44:12 2023
